Curriculum,Colostate_CS_2017_w_MATH
Institution,Colorado State University
Degree Type,"BS"
System Type,semester
CIP,"11.0701"
Total Structural Complexity,415
Longest Delay,10,MATH117->MATH118->MATH125->MATH126->MATH160->CS270->CS253->CS314->CS414
Highest Centrality Course,"MATH118",492
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Calculus I,"MATH","160","MATH124;MATH126","","",4,"Colorado State University","",27,17,10,400
2,A&H elective,"AH","1xx","","","",3,"Colorado State University","",1,0,1,0
3,Java (Prior) programming experience,"CS","164","MATH124","","",4,"Colorado State University","",23,14,9,92
4,A&H elective,"AH","1xx","","","",3,"Colorado State University","",1,0,1,0
5,CS2--Data Structures,"CS","165","CS164","MATH160","",4,"Colorado State University","",23,13,10,288
6,Discrete Structures and their Applications,"CS","220","CS165;MATH160","","",4,"Colorado State University","",16,6,10,160
7,Software Development with C++,"CS","253","CS220;CS270","","",4,"Colorado State University","",14,4,10,250
8,Computer Organization,"CS","270","CS165;MATH160","","",4,"Colorado State University","",18,8,10,240
9,Calculus II,"MATH","161","MATH160","","",4,"Colorado State University","",11,3,8,41
10,Introduction to Applied Statistical Methods,"STAT","301","MATH160","","",4,"Colorado State University","",8,1,7,13
11,Software Engineering,"CS","314","CS253","","",3,"Colorado State University","",11,1,10,90
12,Algorithms--Theory and Practice,"CS","320","CS220;MATH161;MATH369","","",3,"Colorado State University","",8,0,8,0
13,Operating Systems,"CS","370","CS270","","",3,"Colorado State University","",11,2,9,80
14,Computer Security,"CS","356","CS253;CS270;STAT301","","",3,"Colorado State University","",9,0,9,0
15,Tech Elective,"elec","3++","","","",3,"Colorado State University","",1,0,1,0
16,400++ Course,"CS","414","CS314","","",4,"Colorado State University","",10,0,10,0
17,400++ Course,"CS","455","CS370","","",4,"Colorado State University","",9,0,9,0
18,400++ Course,"CS","462","CS253;MATH161","","",4,"Colorado State University","",9,0,9,0
19,Tech Elective,"JTC","372","CS165","","",3,"Colorado State University","",7,0,7,0
20,Tech Elective,"CIS","413","CS165","","",3,"Colorado State University","",7,0,7,0
21,400+,"CS","455","CS370","","",4,"Colorado State University","",9,0,9,0
22,Composition,"CO","150","","","",3,"Colorado State University","",3,1,2,0
23,Advanced Writing,"CO","300","CO150","","",3,"Colorado State University","",2,0,2,0
24,CS Science,"PH","121","","","",3,"Colorado State University","",1,0,1,0
25,CS Science w/lab,"CHEM","107","","","",3,"Colorado State University","",3,1,2,0
26,CS Science lab,"CHEM","108","","CHEM107","",1,"Colorado State University","",2,0,2,0
27,DEI Elective,"DEI","1xx","","","",3,"Colorado State University","",1,0,1,0
28,History Elective,"HIST","1xx","","","",3,"Colorado State University","",1,0,1,0
29,Social Science Elective,"Soc","1xx","","","",3,"Colorado State University","",1,0,1,0
30,Linear Algebra,"MATH","369","MATH161","","",3,"Colorado State University","",9,1,8,15
31,CS Science 2 w/lab,"SCI","2++","","","",3,"Colorado State University","",3,1,2,0
32,CS Science 2 w/lab,"SCI","2++","SCI2++_31","","",2,"Colorado State University","",2,0,2,0
33,College Algebra in Context I,"MATH","117","","","",1,"Colorado State University","",33,23,10,0
34,College Algebra in Context II,"MATH","118","MATH117","","",1,"Colorado State University","",32,22,10,492
35,Logarithmic and Exponential Functions,"MATH","124","MATH118","","",1,"Colorado State University","",28,19,9,279
36,Numerical Trigonometry,"MATH","125","MATH118","","",1,"Colorado State University","",29,19,10,213
37,Analytic Trigonometry,"MATH","126","MATH125","","",1,"Colorado State University","",28,18,10,213
38,Elective,"elec","3++","","","",3,"Colorado State University","",1,0,1,0
39,Elective,"elec","3++","","","",3,"Colorado State University","",1,0,1,0
40,Elective,"elec","3++","","","",3,"Colorado State University","",1,0,1,0
41,Elective,"elec","1xx","","","",1,"Colorado State University","",1,0,1,0
