Curriculum,Computer Science - LSA
Institution,University of Michigan-Ann Arbor
Degree Type,"BS"
System Type,semester
CIP,"11.07"
Total Structural Complexity,149
Longest Delay,5,Engineering101->EECS280->EECS281->EECS485
Highest Centrality Course,"EECS281",36
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Introduction to Engineering,"Engineering","100","","","",4,"University of Michigan-Ann Arbor","",5,2,3,0
2,Introduction to Computers,"Engineering","101","","Math115","",4,"University of Michigan-Ann Arbor","",13,8,5,29
3,General Chemistry Laboratory I,"Chemistry","125","","","",1,"University of Michigan-Ann Arbor","",1,0,1,0
4,General Chemistry Labatory II,"Chemistry","126","","","",1,"University of Michigan-Ann Arbor","",1,0,1,0
5,General Chemistry,"Chemistry","130","","","",3,"University of Michigan-Ann Arbor","",1,0,1,0
6,General Physics I,"Physics","140","Math115","","",4,"University of Michigan-Ann Arbor","",4,1,3,3
7,Elementary Laboratory I,"Physics","141","","","",1,"University of Michigan-Ann Arbor","",1,0,1,0
8,General Physics II,"Physics","240","Physics140;Math116","","",4,"University of Michigan-Ann Arbor","",3,0,3,0
9,Elementary Laboratory II,"Physics","241","","","",1,"University of Michigan-Ann Arbor","",1,0,1,0
10,Calculus I,"Math","115","","","",4,"University of Michigan-Ann Arbor","",20,15,5,0
11,Calculus II,"Math","116","Math115","","",4,"University of Michigan-Ann Arbor","",8,4,4,10
12,Applied Linear Algebra,"Math","214","Math116","","",4,"University of Michigan-Ann Arbor","",5,1,4,4
13,Multivariable & Vector Calculus,"Math","215","Math116","","",4,"University of Michigan-Ann Arbor","",3,0,3,0
14,Discrete Mathematics,"EECS","203","Math115","","",4,"University of Michigan-Ann Arbor","",11,7,4,23
15,Programming and Elementary Data Structures,"EECS","280","Engineering101","","",4,"University of Michigan-Ann Arbor","",12,7,5,29
16,Data Structures and Algorithms,"EECS","281","EECS203;EECS280","","",4,"University of Michigan-Ann Arbor","",9,4,5,36
17,Introduction to Computer Organization,"EECS","370","EECS203;EECS280","","",4,"University of Michigan-Ann Arbor","",6,1,5,9
18,Foundation of Computer Science,"EECS","376","EECS203;EECS280","","",4,"University of Michigan-Ann Arbor","",4,0,4,0
19,Major Design Experince Professionalism,"EECS","496","","","",2,"University of Michigan-Ann Arbor","",1,0,1,0
20,Introduction to Statistics and Data Analysis,"STATS","250","","","",3,"University of Michigan-Ann Arbor","",1,0,1,0
21,Technical Communication for Electrical and Computer Science,"TCHNCLCM","300","Engineering100","","",1,"University of Michigan-Ann Arbor","",4,1,3,3
22,Introduction to Operating Systems (CS Elective),"EECS","482","EECS281;EECS370","","",4,"University of Michigan-Ann Arbor","",5,0,5,0
23,Database Management Systems (CS Elective),"EECS","484","EECS281","","",4,"University of Michigan-Ann Arbor","",5,0,5,0
24,Web Datavase and Information Systems (CS Elective),"EECS","485","EECS281","","",4,"University of Michigan-Ann Arbor","",5,0,5,0
25,Intorudction to Machine Learning (CS Elective),"EECS","445","EECS281;Math214","","",4,"University of Michigan-Ann Arbor","",5,0,5,0
26,(Technical Elective),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
27,(Technical Elective),"XX","XX","","","",3,"University of Michigan-Ann Arbor","",1,0,1,0
28,(Technical Elective),"XX","XX","","","",3,"University of Michigan-Ann Arbor","",1,0,1,0
29,Approved CS MDE course,"EECS","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
30,Advanced Technical Communication for Computer Science,"TCHNCLCM","497","TCHNCLCM300","","",2,"University of Michigan-Ann Arbor","",3,0,3,0
31,(Intellectual Breadth),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
32,(Intellectual Breadth),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
33,(Intellectual Breadth),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
34,(Intellectual Breadth),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
35,(General Elective),"XX","XX","","","",3,"University of Michigan-Ann Arbor","",1,0,1,0
36,(General Elective),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
37,(General Elective),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
38,(General Elective),"XX","XX","","","",4,"University of Michigan-Ann Arbor","",1,0,1,0
