Curriculum,BS-Computer Science - Hawaii - Manoa,,,,,,,,,
Institution,"University of Hawaii - Manoa",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Computer Science I","ICS","111",,,,4,"","",18.0,14,4.0,0
2,"Discrete Math 1","ICS","141","19",,,3,"","",18.0,13,5.0,75
3,"Introduction to Computer Science 2","ICS","211","1",,,4,"","",17.0,13,4.0,68
4,"Program Structure","ICS","212","3",,,3,"","",6.0,2,4.0,8
5,"Discrete Math 2","ICS","241","2",,,3,"","",17.0,12,5.0,75
6,"Algorithms","ICS","311","5;3;19",,,4,"","",12.0,7,5.0,84
7,"Software Engineering","ICS","314","5;3",,,3,"","",12.0,7,5.0,63
8,"Database Systems","ICS","321","5;3",,,3,"","",6.0,1,5.0,9
9,"Operating Systems","ICS","332","6;7",,,3,"","",5.0,0,5.0,0
10,"Security and Trust I","ICS","355","7",,,3,"","",5.0,0,5.0,0
11,"Capstone Project","ICS","496","6;7",,,3,"","",5.0,0,5.0,0
12,"Linear Algebra","MATH","307","20",,,3,"","",3.0,0,3.0,0
13,"Machine-Level and System Programming","ICS","312","4;6;7",,,3,"","",5.0,0,5.0,0
14,"Programming Language Theory","ICS","313","4;6;7",,,3,"","",5.0,0,5.0,0
15,"Upper division CS elective","ICS","414","6;7",,,3,"","",5.0,0,5.0,0
16,"Upper division CS elective","ICS","415","6;7",,,3,"","",5.0,0,5.0,0
17,"Upper division CS elective","ICS","421","8",,,3,"","",5.0,0,5.0,0
18,"Upper division CS elective","ICS","461","6",,,3,"","",5.0,0,5.0,0
19,"Calculus 1","MATH","241",,,,4,"","",21.0,16,5.0,0
20,"Calculus 2","MATH","242","19",,,4,"","",4.0,1,3.0,3
21,"Physics 1","PHYS","151",,,,3,"","",6.0,3,3.0,0
22,"Physics 1 -lab","PHYS","151L",,"21",,1,"","",4.0,1,3.0,3
23,"Physcis 2 ","PHYS","152","21",,,3,"","",4.0,1,3.0,3
24,"Physcis 2 - Lab","PHYS","152L","22","23",,1,"","",3.0,0,3.0,0
25,"Hawaiian SL","HSL","101",,,,3,"","",7.0,3,4.0,0
26,"Hawaiian SL","HSL","102","25",,,3,"","",6.0,2,4.0,4
27,"Hawaiian SL","HSL","201","26",,,3,"","",5.0,1,4.0,4
28,"Hawaiian SL","HSL","202","27",,,3,"","",4.0,0,4.0,0
29,"Chemistry 1","CHEM","161",,,,3,"","",4.0,2,2.0,0
30,"Chemistry 1 - lab","CHEM","161L",,"29",,1,"","",2.0,0,2.0,0
31,"Chemistry 2","CHEM","162","29",,,3,"","",2.0,0,2.0,0
32,"Chemistry 2 - lab","CHEM","162L",,,,1,"","",1.0,0,1.0,0
33,"Gen Ed FG","FG","101",,,,3,"","",1.0,0,1.0,0
34,"Gen Ed FW","FW","101",,,,3,"","",1.0,0,1.0,0
35,"Gen Ed FG 2","FG","102",,,,3,"","",1.0,0,1.0,0
36,"Gen Ed DS","DS","101",,,,3,"","",1.0,0,1.0,0
37,"Gen Ed DS 2","DS","102",,,,3,"","",1.0,0,1.0,0
38,"Gen Ed DB","DB","101",,,,3,"","",1.0,0,1.0,0
39,"Gen Ed DA/DH/DL 300","DA","301",,,,3,"","",1.0,0,1.0,0
40,"Elective 300+","Elec","301",,,,3,"","",1.0,0,1.0,0
41,"Gen Ed FQ","FQ","101",,,,3,"","",1.0,0,1.0,0
