Curriculum,Berkley_CS,,,,,,,,,
Institution,"California Berkeley",,,,,,,,,
Degree Type,"BA",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"The Structure and Interpretation of Computer Programs","COMPSCI","61A",,"4",,4,"","",12.0,7,5.0,52
2,"Data Structures","COMPSCI","61B","1",,,4,"","",11.0,6,5.0,36
3,"Discrete Mathematics and Probaility Theory","COMPSCI","70",,,,4,"","",4.0,2,2.0,0
4,"Calculus","MATH","1A",,,,4,"","",15.0,10,5.0,0
5,"Calculus","MATH","1B","4",,,4,"","",4.0,1,3.0,3
6,"Linear Algebra and Differntial Equations","MATH","54","5",,,4,"","",3.0,0,3.0,0
7,"Great Ideas of Computer Architecture","COMPSCI","61C","2;1",,,4,"","",9.0,4,5.0,36
8,"Software Engineering (Upper Division CS Elective)","COMPSCI","169","7;2;3",,,4,"","",5.0,0,5.0,0
9,"User Interface Design and Development (Upper Division CS Elective)","COMPSCI","160","2",,,4,"","",4.0,0,4.0,0
10,"Programming Languages and Compilers (Upper Division CS Elective)","COMPSCI","164","7;2",,,4,"","",5.0,0,5.0,0
11,"Principles of Computer Aided Architectural Design (Non CS Technical Elective)","ARCH","129",,,,4,"","",1.0,0,1.0,0
12,"Reading and Composition A","XX","XX",,,,4,"","",1.0,0,1.0,0
13,"Reading and Composition B","XX","XX",,,,4,"","",1.0,0,1.0,0
14,"L&S Breadth","XX","XX",,,,4,"","",1.0,0,1.0,0
15,"L&S Breadth","XX","XX",,,,3,"","",1.0,0,1.0,0
16,"L&S Breadth","XX","XX",,,,3,"","",1.0,0,1.0,0
17,"American Culuters Req","XX","XX",,,,4,"","",1.0,0,1.0,0
18,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
19,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
20,"Computer Architecture and Engineering (Upper Division CS Elective)","COMPSCI","152","7",,,4,"","",5.0,0,5.0,0
21,"Operating Systems and System Programming (Upper Division CS Elective)","COMPSCI","162","7;2;3",,,4,"","",5.0,0,5.0,0
22,"L&S Breadth","XX","XX",,,,4,"","",1.0,0,1.0,0
23,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
24,"L&S Breadth","XX","XX",,,,4,"","",1.0,0,1.0,0
25,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
27,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
28,"UD L&S Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
29,"UD L&S Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"The Beauty and Joy of Computing","COMPSCI","10",,,,4,"","",1.0,0,1.0,0
