Curriculum,Colostate CS 2017,,,,,,,,,
Institution,"Colorado State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus I","MATH","160",,,,4,"","",25.0,18,7.0,0
2,"A&H elective","AH","1xx",,,,3,"","",1.0,0,1.0,0
3,"Java (Prior) programming experience","CS","164",,"1",,4,"","",21.0,14,7.0,68
4,"A&H elective","AH","1xx",,,,3,"","",1.0,0,1.0,0
5,"CS2--Data Structures","CS","165","3;1",,,4,"","",20.0,13,7.0,124
6,"Discrete Structures and their Applications","CS","220","5;1",,,4,"","",13.0,6,7.0,60
7,"Software Development with C++","CS","253","6;8",,,4,"","",11.0,4,7.0,96
8,"Computer Organization","CS","270","5;1",,,4,"","",15.0,8,7.0,90
9,"Calculus II","MATH","161","1",,,4,"","",7.0,3,4.0,10
10,"Introduction to Applied Statistical Methods","STAT","301","1",,,4,"","",4.0,1,3.0,3
11,"Software Engineering","CS","314","7",,,3,"","",8.0,1,7.0,36
12,"Algorithms--Theory and Practice","CS","320","6;9;30",,,3,"","",5.0,0,5.0,0
13,"Operating Systems","CS","370","8",,,3,"","",8.0,2,6.0,30
14,"Computer Security","CS","356","7;10;8",,,3,"","",6.0,0,6.0,0
15,"Tech Elective","elec","3++",,,,3,"","",1.0,0,1.0,0
16,"400++ Course","CS","414","11",,,4,"","",7.0,0,7.0,0
17,"400++ Course","CS","455","13",,,4,"","",6.0,0,6.0,0
18,"400++ Course","CS","462","7;9",,,4,"","",6.0,0,6.0,0
19,"Tech Elective","JTC","372","5",,,3,"","",4.0,0,4.0,0
20,"Tech Elective","CIS","413","5",,,3,"","",4.0,0,4.0,0
21,"400+","CS","455","13",,,4,"","",6.0,0,6.0,0
22,"Composition","CO","150",,,,3,"","",3.0,1,2.0,0
23,"Advanced Writing","CO","300","22",,,3,"","",2.0,0,2.0,0
24,"CS Science","PH","121",,,,3,"","",1.0,0,1.0,0
25,"CS Science w/lab","CHEM","107",,,,3,"","",3.0,1,2.0,0
26,"CS Science lab","CHEM","108",,"25",,1,"","",2.0,0,2.0,0
27,"DEI Elective","DEI","1xx",,,,3,"","",1.0,0,1.0,0
28,"History Elective","HIST","1xx",,,,3,"","",1.0,0,1.0,0
29,"Social Science Elective","Soc","1xx",,,,3,"","",1.0,0,1.0,0
30,"Linear Algebra","MATH","369","9",,,3,"","",5.0,1,4.0,4
31,"CS Science 2 w/lab","SCI","2++",,,,3,"","",3.0,1,2.0,0
32,"Elective","elec","1xx",,,,3,"","",1.0,0,1.0,0
33,"Elective","elec","1xx",,,,3,"","",1.0,0,1.0,0
34,"Elective","elec","3++",,,,3,"","",1.0,0,1.0,0
35,"Elective","elec","3++",,,,3,"","",1.0,0,1.0,0
36,"Elective","elec","3++",,,,3,"","",1.0,0,1.0,0
37,"CS Science 2 w/lab","SCI","2++","31",,,2,"","",2.0,0,2.0,0
