Curriculum,Colostate_CS_2017,,,,,,,
Institution,Colorado State University,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Calculus I,MATH,160,,,,4,
2,A&H elective,AH,1xx,,,,3,
3,Java (Prior) programming experience,CS,164,,1,,4,
4,A&H elective,AH,1xx,,,,3,
5,CS2--Data Structures,CS,165,3;1,,,4,
6,Discrete Structures and their Applications,CS,220,5;1,,,4,
7,Software Development with C++,CS,253,6;8,,,4,
8,Computer Organization,CS,270,5;1,,,4,
9,Calculus II,MATH,161,1,,,4,
10,Introduction to Applied Statistical Methods,STAT,301,1,,,4,
11,Software Engineering,CS,314,7,,,3,
12,Algorithms--Theory and Practice,CS,320,6;9;30,,,3,
13,Operating Systems,CS,370,8,,,3,
14,Computer Security,CS,356,7;8;10,,,3,
15,Tech Elective,elec,3++,,,,3,
16,400++ Course,CS,414,11,,,4,
17,400++ Course,CS,455,13,,,4,
18,400++ Course,CS,462,7;9,,,4,
19,Tech Elective,JTC,372,5,,,3,
20,Tech Elective,CIS,413,5,,,3,
21,400+,CS,455,13,,,4,
22,Composition,CO,150,,,,3,
23,Advanced Writing,CO,300,22,,,3,
24,CS Science,PH,121,,,,3,
25,CS Science w/lab,CHEM,107,,,,3,
26,CS Science lab,CHEM,108,,25,,1,
27,DEI Elective,DEI,1xx,,,,3,
28,History Elective,HIST,1xx,,,,3,
29,Social Science Elective,Soc,1xx,,,,3,
30,Linear Algebra,MATH,369,9,,,3,
31,CS Science 2 w/lab,SCI,2++,,,,3,
32,Elective,elec,1xx,,,,3,
33,Elective,elec,1xx,,,,3,
34,Elective,elec,3++,,,,3,
35,Elective,elec,3++,,,,3,
36,Elective,elec,3++,,,,3,
37,CS Science 2 w/lab,SCI,2++,31,,,2,
